message_id,date,text,tags,tweet_lang,source,place,geom,retweets,tweet_favorites,photo_url,quoted_status_id,user_id,user_name,user_location,followers,friends,user_favorites,status,user_lang,latitude,longitude,data_source,corona_related
1430290621072297987,2021-08-24 22:07:12,"We are spreading the BeSMART gun safety message in Glen Ridge,NJ! @MomsDemand @Everytown #NNO #nationalnightout #EndGunViolence https://t.co/bfvnUKD97m","NNO,nationalnightout,EndGunViolence",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Glen Ridge, NJ",0103000020E610000001000000050000009E0AB8E7F98D52C014E81379926444409E0AB8E7F98D52C0D993C0E61C6A4440FDDAFAE93F8C52C0D993C0E61C6A4440FDDAFAE93F8C52C014E81379926444409E0AB8E7F98D52C014E8137992644440,0,0,http://pbs.twimg.com/media/E9lpvBHXMA4aauQ.jpg,-1.0,1217544218111021057,PegZEssexNJ,"Nutley, NJ",97,78,526,168,,,,{3},True
1329079031036223489,2020-11-18 15:08:28,No wonder the cases of COVID-19 are alarmingly high in LA County.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Los Angeles, CA",0103000020E61000000100000005000000FF209221C7AA5DC006651A4D2EDA4040FF209221C7AA5DC0A034D428242B414043209738F2895DC0A034D428242B414043209738F2895DC006651A4D2EDA4040FF209221C7AA5DC006651A4D2EDA4040,0,0,,-1.0,2577356926,myfilteredview,"Los Angeles, CA",58,488,15270,22496,,,,{3},True
1429947572060180483,2021-08-23 23:24:02,"I am not a scam nothing but the real thing. Here looking to spread the correct information about insurance. 
Stop saying yes to full coverage that is not a legal insurance term used by agent as full coverage does not exist
#insurance https://t.co/O1nlUCaBWI",insurance,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Monrovia, CA",0103000020E61000000100000005000000D0EE906280815DC0849B8C2AC30C4140D0EE906280815DC0836DC493DD1641402E3BC43F6C7E5DC0836DC493DD1641402E3BC43F6C7E5DC0849B8C2AC30C4140D0EE906280815DC0849B8C2AC30C4140,0,0,http://pbs.twimg.com/media/E9gxuh4VcBEx5V0.jpg,-1.0,2537967162,MarioRazo1996,,225,244,4942,7339,,,,{3},True
1329105670092836864,2020-11-18 16:54:19,"I miss being home, the morning coffee, conversations with my mom, home... #QuarantineLife",QuarantineLife,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Las Vegas, NM",0103000020E61000000100000005000000FCC3961E4D515AC0E754320054C74140FCC3961E4D515AC0F2CD3637A6D341400586AC6EF54B5AC0F2CD3637A6D341400586AC6EF54B5AC0E754320054C74140FCC3961E4D515AC0E754320054C74140,0,0,,-1.0,2911922488,_noahgene,,296,774,1982,980,,,,{3},True
1329130237326626816,2020-11-18 18:31:57,"Just posted a video @ Corona, California https://t.co/qUhL87F3iL",,en,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Corona, CA",0101000020E61000004E62105839645DC02B1895D409F04040,0,0,,-1.0,1412107897,montesjr711_a,"California, USA",70,298,310,13487,,,,{3},True
1317992468001001474,2020-10-19 00:54:26,"Ahora si ya me lo cambie que dicen??? @ Pflugerville, Texas https://t.co/qYW6VGyJCx",,es,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Pflugerville, TX",0101000020E61000003A92CB7F486758C039B4C876BE6F3E40,0,0,,-1.0,113399602,mel_lachilanga,Austin Tx,261,531,8,291,,,,{3},True
1329418741889732610,2020-11-19 13:38:22,"This is a lie from Hillary's kankle sucker Jake
Its called gathering evidence Jake and you should go read @SidneyPowell1 @LLinWood twitter timeline and enlighten yourself but you will not. You want to spread propaganda like a good little Stalinist 

#MagaContinues https://t.co/AJzDYh6Cnr",MagaContinues,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sparks, TX",0103000020E6100000010000000500000015E126A3CA905AC0BCCCB051D6A73F4015E126A3CA905AC03B70CE88D2AE3F40F8E12021CA8D5AC03B70CE88D2AE3F40F8E12021CA8D5AC0BCCCB051D6A73F4015E126A3CA905AC0BCCCB051D6A73F40,0,0,"http://pbs.twimg.com/media/EnMLSakVcAAEkbk.jpg,http://pbs.twimg.com/media/EnMLSwSVEAYrt1-.jpg,http://pbs.twimg.com/media/EnMLTE_VkAAQ9iq.jpg",1.3294152329854566e+18,1116443215874408450,eric_iq,United States,3314,4976,23996,27295,,,,{3},True
1307346436082851841,2020-09-19 15:50:54,"@John10Hoeve Same. I don’t think the Big Ten’s reversal and decision to play this fall is wise at all. Even yesterday another two games for today were canceled due to covid outbreaks. I hope PSU is successful and I’ll cheer for them, even though I think a fall season is foolhardy.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Broomfield, CO",0103000020E61000000100000005000000EC3191D26C495AC071C971A774F24340EC3191D26C495AC090DD054A0A004440062FFA0AD23F5AC090DD054A0A004440062FFA0AD23F5AC071C971A774F24340EC3191D26C495AC071C971A774F24340,0,0,,-1.0,387967256,JaredALee,"Broomfield, CO",590,817,49293,29994,,,,{3},True
1337965948465246210,2020-12-13 03:41:54,"RAPING and GAPING 
@AkselThorsenXXX
 and he loved it!

https://t.co/ABIWSEgLNW https://t.co/Y4KGiYo9Se @daddieshousexxx @hotguyzone @queerfever @scallysex @thebonerguide @GAYXXXBLOG @gayporncrushes @theQueerPig @QueerMeNow @new_gaywanking https://t.co/UiwlHggnpA",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manhattan, NY",0103000020E61000000100000005000000BB270F0BB58152C07DCB9C2E8B574440BB270F0BB58152C0E2E5E95C517044401381EA1F447A52C0E2E5E95C517044401381EA1F447A52C07DCB9C2E8B574440BB270F0BB58152C07DCB9C2E8B574440,0,0,http://pbs.twimg.com/ext_tw_video_thumb/1337965862326853633/pu/img/o8UmTPHTQsZib1Z2.jpg,-1.0,2729682216,MarcGiacomoX,New York City,33193,793,747,2340,,,,{3},True
1318166208022183936,2020-10-19 12:24:48,@FoxBlues2 @DonaldJTrumpJr How many times does in have to be stated that the president stopped all travel from China on January 31st to keep the Wuhan virus 🦠 from coming here and saving hundreds of thousands of American lives! He also restricted travel from European countries who were overwhelmed with it,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Knoxville, TN",0103000020E61000000100000005000000ED9925016A0C55C0C85BAE7E6CEA4140ED9925016A0C55C01E6D1CB1161142409AE95E27F5EE54C01E6D1CB1161142409AE95E27F5EE54C0C85BAE7E6CEA4140ED9925016A0C55C0C85BAE7E6CEA4140,0,0,,-1.0,1310996959034048513,chrisBotsis1,,12,132,3,208,,,,{3},True
1315435094782472192,2020-10-11 23:32:20,"If you are looking for full time, remote work, 
- have at least a HS diploma
- wear a mask like your life depends on it (it does)
- have a deep sense of empathy 
- fluently speak a second language 
- can work weekends

DM me.",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dallas, TX",0103000020E610000001000000050000003FFD67CD8F3E58C060AC6F60724F40403FFD67CD8F3E58C09D2CB5DE6F82404049111956F12258C09D2CB5DE6F82404049111956F12258C060AC6F60724F40403FFD67CD8F3E58C060AC6F60724F4040,0,0,,-1.0,900303948,lenubienne,Venus,11786,843,89300,350258,,,,{3},True
1429984943233544195,2021-08-24 01:52:32,"Metro Atlanta school districts continue to face a surge in coronavirus infections, recording more than 6,300 cases over the past week. 

https://t.co/d5TxX8Wm2x",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dunwoody, GA",0103000020E610000001000000050000003BE0BA62461655C03A07CF8426F540403BE0BA62461655C08E3A3AAE46FC4040952C27A1F41055C08E3A3AAE46FC4040952C27A1F41055C03A07CF8426F540403BE0BA62461655C03A07CF8426F54040,0,0,,-1.0,16563015,bluestein,ATL,109415,985,20291,48371,,,,{3},True
1430232537662726151,2021-08-24 18:16:24,Hope is not a strategy. Hope is what’s left when all available measures have gone to 💩. What will get us there is a Delta-specific vaccine that provides greater cross-immunity to other variants or the virus burns through all available hosts.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ames, IA",0103000020E61000000100000005000000DA56B3CEF86D57C074D4D17135FE4440DA56B3CEF86D57C0D993C0E61C0A4540EE0912DBDD6357C0D993C0E61C0A4540EE0912DBDD6357C074D4D17135FE4440DA56B3CEF86D57C074D4D17135FE4440,0,0,,1.4302174010822533e+18,17069154,gene5335,"Iowa, USA",420,1614,2829,7862,,,,{3},True
1329129738695303177,2020-11-18 18:29:58,@asterlactuca Basically Goethe hated the ending of Magic Flute so he wrote a sequel and Mozart (or his estate?) sued him I think? Goethe’s sequel was INSANE.,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Upper Arlington, OH",0103000020E61000000100000005000000AF5C6F9BA9C654C0A7E67283A1FE4340AF5C6F9BA9C654C07EC9C6832D084440CDACA580B4C254C07EC9C6832D084440CDACA580B4C254C0A7E67283A1FE4340AF5C6F9BA9C654C0A7E67283A1FE4340,0,0,,-1.0,846212754247745536,nararouge,Qing Jing Peak ,396,738,195348,52779,,,,{3},True
1328901021578432517,2020-11-18 03:21:07,"@InAWomansWorld FoxFace - Mandy is my girl, Niki is also super talented. They are VERY Covid cautious and are doing everything recommended and more as far as precautions. https://t.co/fvONKNVoFM",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","St Paul, MN",0103000020E610000001000000050000008C6A11514C4D57C05D6C5A29047246408C6A11514C4D57C0F9C08EFF027F464000C5C892394057C0F9C08EFF027F464000C5C892394057C05D6C5A29047246408C6A11514C4D57C05D6C5A2904724640,0,0,,-1.0,337437513,katie_stp,"St. Paul / Isla Mujeres, MX",1393,1658,104272,24589,,,,{3},True
1337620641097375746,2020-12-12 04:49:47,"@kenia_lucey @JoshuaBudhu Raise your arms, turn both palms up, spread your fingers like your holding the thanksgiving platter. Ok close your eyes and don’t drop my Turkey...",,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manhattan, NY",0103000020E61000000100000005000000BB270F0BB58152C07DCB9C2E8B574440BB270F0BB58152C0E2E5E95C517044401381EA1F447A52C0E2E5E95C517044401381EA1F447A52C07DCB9C2E8B574440BB270F0BB58152C07DCB9C2E8B574440,0,0,,-1.0,912767901664468994,NeuroDrCorrea,New York,444,288,2371,846,,,,{3},True
1315437307516932097,2020-10-11 23:41:08,"@DurhamKennedy @davidakin Information changes, especially with a never before seen virus. Policy is set by new facts. Things change.",,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Augusta, ME",0103000020E610000001000000050000007007EA94477551C00BB77C24252546407007EA94477551C0EF75525F962E4640C0B2D2A4146F51C0EF75525F962E4640C0B2D2A4146F51C00BB77C24252546407007EA94477551C00BB77C2425254640,0,0,,-1.0,890791012724948995,MaggieRicker,"Maine, USA",1743,2425,50864,46143,,,,{3},True
